COACH,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
Mike Hopkins,0.4,73,0.4,73,2,1,1,0.5,1,1,0,0,0,0,0,0,0.50%,0.00%
John Pelphrey,0.4,73,0.4,73,2,1,1,0.5,1,1,0,0,0,0,0,0,0.90%,0.00%
Eran Ganot,0.4,73,0.8,54,2,1,1,0.5,1,1,0,0,0,0,0,0,0.60%,0.00%
Gary Waters,0.4,73,0.8,54,2,1,1,0.5,1,1,0,0,0,0,0,0,1.20%,0.10%
Ron Hunter,0.4,73,0.6,67,4,1,3,0.25,3,1,0,0,0,0,0,0,0.20%,0.00%
Ritchie McKay,0.3,80,0.2,86,3,1,2,0.333,2,1,0,0,0,0,0,0,0.30%,0.00%
Kelvin Sampson,0.3,80,2.3,25,17,12,5,0.706,5,5,4,2,1,0,0,2,77.80%,32.40%
Lorenzo Romar,0.3,80,0.9,47,7,4,3,0.571,3,3,1,0,0,0,0,0,15.70%,2.70%
Micah Shrewsberry,0.3,80,0.4,73,2,1,1,0.5,1,1,0,0,0,0,0,0,2.40%,0.20%
Rodney Terry,0.3,80,0.5,69,5,3,2,0.6,2,1,1,1,0,0,0,1,23.50%,5.90%
Steve Alford,0.2,85,-0.9,245,14,8,6,0.571,6,5,3,0,0,0,0,0,31.30%,5.10%
Rick Majerus,0.2,85,0.4,73,2,1,1,0.5,1,1,0,0,0,0,0,0,4.80%,0.70%
Saul Phillips,0.2,85,0.3,84,3,1,2,0.333,2,1,0,0,0,0,0,0,1.00%,0.00%
Paul Hewitt,0.2,85,0.4,73,2,1,1,0.5,1,1,0,0,0,0,0,0,2.70%,0.30%
Tommy Amaker,0.2,85,0.6,67,6,2,4,0.333,4,2,0,0,0,0,0,0,3.70%,0.20%
Mike Anderson,0.2,85,0.1,90,12,6,6,0.5,6,4,1,1,0,0,0,0,21.10%,4.10%
Steve Pikiell,0.1,91,0.1,90,3,1,2,0.333,2,1,0,0,0,0,0,0,1.80%,0.10%
Stan Heath,0.1,91,0.5,69,2,1,1,0.5,1,1,0,0,0,0,0,0,3.50%,0.30%
Larry Krystowiak,0.1,91,0,95,5,3,2,0.6,2,2,1,0,0,0,0,0,16.70%,2.60%
John Shulman,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Brooks Thompson,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Scott Cross,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Edward Joyner Jr,0,94,0,95,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
Rick Stansbury,0,94,0,95,3,1,2,0.333,2,1,0,0,0,0,0,0,2.10%,0.10%
George Ivory,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Fran O'Hanlon,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Larry Eustachy,0,94,-0.3,185,3,1,2,0.333,2,1,0,0,0,0,0,0,1.80%,0.20%
James Green,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Bill Carmody,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Cy Alexander,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Andrew Toole,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Brad Greenberg,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Greg Herenda,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Jim Les,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Tim Craft,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
John Gallagher,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Mike Jones,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
David Richman,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Jamion Christian,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Steve Lutz,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Mike Morrell,0,94,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Brian Wardle,0,94,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
James Jones,-0.1,117,0.2,86,4,1,3,0.25,3,1,0,0,0,0,0,0,3.00%,0.20%
Robert Jones,-0.1,117,0,95,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
Rob Lanier,-0.1,117,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Kenny Blakeney,-0.1,117,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Mike Davis,-0.1,117,-0.1,131,3,0,3,0,3,0,0,0,0,0,0,0,0.00%,0.00%
Zach Spiker,-0.1,117,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Casey Alexander,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
LaVall Jordan,-0.1,117,0.4,73,2,1,1,0.5,1,1,0,0,0,0,0,0,3.90%,0.60%
Ryan Odom,-0.1,117,0.4,73,3,1,2,0.333,2,1,0,0,0,0,0,0,3.60%,0.40%
Brian Jones,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Griff Aldrich,-0.1,117,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Mark Turgeon,-0.1,117,-0.7,233,17,8,9,0.471,9,7,1,0,0,0,0,0,21.90%,2.70%
Roman Banks,-0.1,117,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Phil Cunningham,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Joe Callero,-0.1,117,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Nicholas McDevitt,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Ray McCallum,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
Bobby Braswell,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Kevin Broadus,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Matt Brady,-0.1,117,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
Dave Richman,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
